OBJECTID,Trap Type,Trap Number,Trap Set Date,Trap Pull Date,Active,Location Notes,Week,Site Name,EGC Captured?,Prospecting Trap?,MMP Trap?,TrapIDJoin,Latitude,Longitude,created_date,created_user,last_edited_date,last_edited_user,GlobalID,x,y
74,Fukui,10,20190501,20190503,No,,4,Channel (DS-1),No,No,No,Fukui-10_5/1/2019,48.17391667,-123.1370533,12/16/2020 4:26,KSO,12/16/2020 4:26,KSO,c9d79a47-4b52-4f43-9ecc-b4ebb0afb73e,-123.1370533,48.17391667
75,Fukui,11,20190501,20190503,No,,4,Channel (DS-1),No,No,No,Fukui-11_5/1/2019,48.17421667,-123.1372333,12/16/2020 4:26,KSO,12/16/2020 4:26,KSO,f87dd62c-da30-46e6-a6bd-158ed302ff9a,-123.1372333,48.17421667
76,Minnow,12,20190501,20190503,No,,4,Channel (DS-1),No,No,No,Minnow-12_5/1/2019,48.17430333,-123.1372833,12/16/2020 4:26,KSO,12/16/2020 4:26,KSO,5420c3d0-6e19-4185-a1dd-df749f86208f,-123.1372833,48.17430333
77,Fukui,12,20190501,20190503,No,,4,Channel (DS-1),No,No,No,Fukui-12_5/1/2019,48.17435667,-123.13739,12/16/2020 4:26,KSO,12/16/2020 4:26,KSO,7e443180-5217-4fee-88dd-4c3eb9aa5b46,-123.13739,48.17435667
78,Minnow,13,20190501,20190503,No,,4,Channel (DS-1),No,No,No,Minnow-13_5/1/2019,48.17443667,-123.137455,12/16/2020 4:26,KSO,12/16/2020 4:26,KSO,878e38e0-43d8-4ced-b641-5438bf0d61fe,-123.137455,48.17443667
79,Fukui,13,20190501,20190503,No,,4,Channel (DS-1),No,No,No,Fukui-13_5/1/2019,48.17451667,-123.1375483,12/16/2020 4:26,KSO,12/16/2020 4:26,KSO,9dc612c6-d899-46a9-9fdb-0c31343edb89,-123.1375483,48.17451667
80,Minnow,14,20190501,20190503,No,,4,Channel (DS-1),No,No,No,Minnow-14_5/1/2019,48.174505,-123.137655,12/16/2020 4:26,KSO,12/16/2020 4:26,KSO,74fb130d-7852-4b8f-af58-c4671058a74a,-123.137655,48.174505
81,Fukui,14,20190501,20190503,No,,4,Channel (DS-1),No,No,No,Fukui-14_5/1/2019,48.17452,-123.137825,12/16/2020 4:26,KSO,12/16/2020 4:26,KSO,61c59dbc-ec43-4525-bb72-2ef2d783bd7f,-123.137825,48.17452
82,Minnow,15,20190501,20190503,No,,4,Channel (DS-1),No,No,No,Minnow-15_5/1/2019,48.174595,-123.13795,12/16/2020 4:26,KSO,12/16/2020 4:26,KSO,c0612321-b431-452e-a192-ac2597f4a166,-123.13795,48.174595
83,Fukui,15,20190501,20190503,No,,4,Channel (DS-1),No,No,No,Fukui-15_5/1/2019,48.17463833,-123.1380017,12/16/2020 4:26,KSO,12/16/2020 4:26,KSO,99f5fb01-2691-4133-8a5a-1146db6b53df,-123.1380017,48.17463833
84,Minnow,16,20190501,20190503,No,,4,Channel (DS-1),No,No,No,Minnow-16_5/1/2019,48.1747,-123.1379567,12/16/2020 4:26,KSO,12/16/2020 4:26,KSO,b88fc5a8-a2f5-4cbc-b76e-f80250a0861d,-123.1379567,48.1747
85,Fukui,16,20190501,20190503,No,,4,Channel (DS-1),No,No,No,Fukui-16_5/1/2019,48.17480333,-123.1379567,12/16/2020 4:26,KSO,12/16/2020 4:26,KSO,d472ccb3-917a-413a-90f4-d463c384f0a2,-123.1379567,48.17480333
86,Minnow,17,20190501,20190503,No,,4,Channel (DS-1),No,No,No,Minnow-17_5/1/2019,48.174855,-123.1379783,12/16/2020 4:26,KSO,12/16/2020 4:26,KSO,d9ba3bfa-140e-4c9b-8771-a03e32bd1230,-123.1379783,48.174855
87,Fukui,17,20190501,20190503,No,,4,Channel (DS-1),No,No,No,Fukui-17_5/1/2019,48.174935,-123.13809,12/16/2020 4:26,KSO,12/16/2020 4:26,KSO,ae1939fd-5373-4384-984a-66378f0ebc37,-123.13809,48.174935
