Crab ID,Crab #,Capture Date,Week,StartDateLocation_ForCaptureTrap,"Trap Type (Fukui, Minnow,Burrow, Hand)",Sex,Size (mm),Field Trap Loc/Number,Trap Number,TrapIDJoin,Trap Coordinates X,Trap Coordinates Y,Eggs,Missing Limb Locations,"Approximate Ventral Color (LG,DG,RO)",Molt Stage (Pre/Post/Inter),Disposition,Indiv. Pictures? (Y/N),GPS Record? ,Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EGC_2018.62,62,7/31/2018,17,7/30/2018,Fukui,Male,57,F15,015,Fukui-015_7/30/2018,#REF!,#REF!,NA,None,LG,Post,Frozen-USFWS transferred to WSG,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EGC_2018.63,63,8/9/2018,18,8/8/2018,Fukui,Male,79,F9,009,Fukui-009_8/8/2018,#REF!,#REF!,NA,"L1, L5, R1, R5",RO,Pre,Frozen-USFWS transferred to WSG,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EGC_2018.64,64,8/10/2018,18,8/8/2018,Fukui,Male,83,F13,013,Fukui-013_8/8/2018,#REF!,#REF!,NA,None,RO,Pre,Frozen-USFWS transferred to WSG,Y,Y,"In trap that was orginally placed at F17 or F18 position but dislodged and moved near F13. Unsure of when crab enter trap, so location is recorded as where it was found at F13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EGC_2018.65,65,8/29/2018,21,8/27/2018,Minnow,Male,55,M12,012,Minnow-012_8/27/2018,#REF!,#REF!,NA,None,LG,Post,Frozen-USFWS transferred to WSG,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EGC_2018.66,66,9/11/2018,23,9/10/2018,Fukui,Male,33,F11,011,Fukui-011_9/10/2018,#REF!,#REF!,NA,None,LG,Post,Frozen-USFWS transferred to WSG,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EGC_2018.67,67,9/21/2018,24,9/20/2018,Fukui,Male,69,F11,011,Fukui-011_9/20/2018,#REF!,#REF!,NA,None,RO,Pre,Frozen-USFWS transferred to WSG,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EGC_2018.68,68,9/21/2018,24,9/20/2018,Fukui,Male,64,F11,011,Fukui-011_9/20/2018,#REF!,#REF!,NA,None,LG,Post,Frozen-USFWS transferred to WSG,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EGC_2018.69,69,9/21/2018,24,9/20/2018,Fukui,Male,77,F11,011,Fukui-011_9/20/2018,#REF!,#REF!,NA,None,RO,Pre,Frozen-USFWS transferred to WSG,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
